_index,_id,_version,_score,_source.predecoder.hostname,_source.predecoder.program_name,_source.predecoder.timestamp,_source.agent.name,_source.agent.id,_source.manager.name,_source.data.srcip,_source.data.dstuser,_source.data.srcport,_source.rule.mail,_source.rule.level,_source.rule.hipaa,_source.rule.pci_dss,_source.rule.tsc,_source.rule.description,_source.rule.groups,_source.rule.nist_800_53,_source.rule.gdpr,_source.rule.firedtimes,_source.rule.mitre.technique,_source.rule.mitre.id,_source.rule.mitre.tactic,_source.rule.id,_source.rule.gpg13,_source.decoder.parent,_source.decoder.name,_source.full_log,_source.input.type,_source.@timestamp,_source.location,_source.id,_source.timestamp,_source.data.uid,_source.data.euid,_source.data.tty,_source.data.srcuser,_source.data.pwd,_source.data.command,_source.decoder.ftscomment
wazuh-alerts-4.x-2026.02.11,JqgbTJwB92Rb1F_Zq4Cu,1,1,wazuh-manager,sshd,Feb 11 09:50:04,wazuh-manager,000,wazuh-manager,192.168.217.133,cyber,33518,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",168,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,sshd,Feb 11 09:50:04 wazuh-manager sshd[4273]: Failed password for cyber from 192.168.217.133 port 33518 ssh2,log,"Feb 11, 2026 @ 12:50:06.347",journald,1770803406.152718,"Feb 11, 2026 @ 12:50:06.347", , , , , , , 
wazuh-alerts-4.x-2026.02.11,K6gbTJwB92Rb1F_Zq4Cu,1,1,wazuh-manager,sshd,Feb 11 09:50:05,wazuh-manager,000,wazuh-manager, , , ,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",syslog: User authentication failure.,"[""syslog"",""access_control"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",20, , , ,2501,"[""7.8""]", ,sshd,Feb 11 09:50:05 wazuh-manager sshd[4278]: Disconnecting authenticating user cyber 192.168.217.133 port 33540: Too many authentication failures [preauth],log,"Feb 11, 2026 @ 12:50:06.347",journald,1770803406.155016,"Feb 11, 2026 @ 12:50:06.347", , , , , , , 
wazuh-alerts-4.x-2026.02.11,LqgbTJwB92Rb1F_Zq4Cu,1,1,wazuh-manager,sshd,Feb 11 09:50:05,wazuh-manager,000,wazuh-manager, , , ,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",syslog: User authentication failure.,"[""syslog"",""access_control"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",21, , , ,2501,"[""7.8""]", ,sshd,Feb 11 09:50:05 wazuh-manager sshd[4279]: Disconnecting authenticating user cyber 192.168.217.133 port 33548: Too many authentication failures [preauth],log,"Feb 11, 2026 @ 12:50:06.347",journald,1770803406.158055,"Feb 11, 2026 @ 12:50:06.347", , , , , , , 
wazuh-alerts-4.x-2026.02.11,MagbTJwB92Rb1F_Zq4Cu,1,1,wazuh-manager,sshd,Feb 11 09:50:05,wazuh-manager,000,wazuh-manager, , , ,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",syslog: User authentication failure.,"[""syslog"",""access_control"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",22, , , ,2501,"[""7.8""]", ,sshd,Feb 11 09:50:05 wazuh-manager sshd[4267]: Disconnecting authenticating user cyber 192.168.217.133 port 33496: Too many authentication failures [preauth],log,"Feb 11, 2026 @ 12:50:06.347",journald,1770803406.159483,"Feb 11, 2026 @ 12:50:06.347", , , , , , , 
wazuh-alerts-4.x-2026.02.11,M6gbTJwB92Rb1F_Zq4Cu,1,1,wazuh-manager,sshd,Feb 11 09:50:05,wazuh-manager,000,wazuh-manager,192.168.217.133,cyber,49694,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",sshd: authentication failed.,"[""syslog"",""sshd"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",24,"[""Password Guessing"",""SSH""]","[""T1110.001"",""T1021.004""]","[""Credential Access"",""Lateral Movement""]",5760,"[""7.1""]",sshd,sshd,Feb 11 09:50:05 wazuh-manager sshd[4314]: Failed password for cyber from 192.168.217.133 port 49694 ssh2,log,"Feb 11, 2026 @ 12:50:06.352",journald,1770803406.160523,"Feb 11, 2026 @ 12:50:06.352", , , , , , , 
wazuh-alerts-4.x-2026.02.11,PKgbTJwB92Rb1F_Zq4Cu,1,1,wazuh-manager,sshd,Feb 11 09:50:05,wazuh-manager,000,wazuh-manager, , , ,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",syslog: User authentication failure.,"[""syslog"",""access_control"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",25, , , ,2501,"[""7.8""]", ,sshd,Feb 11 09:50:05 wazuh-manager sshd[4283]: Disconnecting authenticating user cyber 192.168.217.133 port 33568: Too many authentication failures [preauth],log,"Feb 11, 2026 @ 12:50:06.352",journald,1770803406.166342,"Feb 11, 2026 @ 12:50:06.352", , , , , , , 
wazuh-alerts-4.x-2026.02.11,P6gbTJwB92Rb1F_Zq4Cu,1,1,wazuh-manager,sshd,Feb 11 09:50:05,wazuh-manager,000,wazuh-manager, , , ,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",syslog: User authentication failure.,"[""syslog"",""access_control"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",26, , , ,2501,"[""7.8""]", ,sshd,Feb 11 09:50:05 wazuh-manager sshd[4286]: Disconnecting authenticating user cyber 192.168.217.133 port 33586: Too many authentication failures [preauth],log,"Feb 11, 2026 @ 12:50:06.353",journald,1770803406.167770,"Feb 11, 2026 @ 12:50:06.353", , , , , , , 
wazuh-alerts-4.x-2026.02.11,QqgbTJwB92Rb1F_Zq4Cu,1,1,wazuh-manager,sshd,Feb 11 09:50:05,wazuh-manager,000,wazuh-manager,192.168.217.133,cyber, ,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",PAM: User login failed.,"[""pam"",""syslog"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",31,"[""Password Guessing""]","[""T1110.001""]","[""Credential Access""]",5503,"[""7.8""]", ,pam,Feb 11 09:50:05 wazuh-manager sshd[4319]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.217.133  user=cyber,log,"Feb 11, 2026 @ 12:50:06.353",journald,1770803406.169347,"Feb 11, 2026 @ 12:50:06.353",0,0,ssh, , , , 
wazuh-alerts-4.x-2026.02.11,SqgbTJwB92Rb1F_Zq4Cu,1,1,wazuh-manager,sshd,Feb 11 09:50:05,wazuh-manager,000,wazuh-manager, , , ,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",syslog: User authentication failure.,"[""syslog"",""access_control"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",29, , , ,2501,"[""7.8""]", ,sshd,Feb 11 09:50:05 wazuh-manager sshd[4290]: Disconnecting authenticating user cyber 192.168.217.133 port 33620: Too many authentication failures [preauth],log,"Feb 11, 2026 @ 12:50:06.353",journald,1770803406.174739,"Feb 11, 2026 @ 12:50:06.353", , , , , , , 
wazuh-alerts-4.x-2026.02.11,T6gbTJwB92Rb1F_Zq4Cu,1,1,wazuh-manager,sshd,Feb 11 09:50:05,wazuh-manager,000,wazuh-manager,192.168.217.133,cyber, ,false,5,"[""164.312.b""]","[""10.2.4"",""10.2.5""]","[""CC6.1"",""CC6.8"",""CC7.2"",""CC7.3""]",PAM: User login failed.,"[""pam"",""syslog"",""authentication_failed""]","[""AU.14"",""AC.7""]","[""IV_35.7.d"",""IV_32.2""]",35,"[""Password Guessing""]","[""T1110.001""]","[""Credential Access""]",5503,"[""7.8""]", ,pam,Feb 11 09:50:05 wazuh-manager sshd[4326]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.217.133  user=cyber,log,"Feb 11, 2026 @ 12:50:06.353",journald,1770803406.177390,"Feb 11, 2026 @ 12:50:06.353",0,0,ssh, , , , 
